,user_id,screen_name,created_time,id_created_time,followers_count,friends_count,text,lang
29,894647828,AeisyahAwlddn,Mon Jul 22 06:57:27 +0000 2019,Sun Oct 21 04:57:37 +0000 2012,793,518,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
30,922012295294697472,syidazain_,Mon Jul 22 06:57:22 +0000 2019,Sun Oct 22 08:10:36 +0000 2017,64,44,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
32,1076797820768665601,__ftnsyamila,Mon Jul 22 06:57:14 +0000 2019,Sun Dec 23 11:13:01 +0000 2018,232,131,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
34,1329088292,nuraidaaaaaaaa,Mon Jul 22 06:56:52 +0000 2019,Fri Apr 05 12:21:27 +0000 2013,1579,1652,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
35,718458298358325248,ZaleyR,Mon Jul 22 06:56:48 +0000 2019,Fri Apr 08 15:19:41 +0000 2016,221,139,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
36,3432675760,Fabrice_nog46,Mon Jul 22 06:56:46 +0000 2019,Thu Aug 20 10:05:02 +0000 2015,111,35,"Japanese idol group Nogizaka46 will hold their concert ""Nogizaka46 Live in Shanghai 2019"" at Mercedes-Benz Arena, S… https://t.co/D8a1gqxKIR",en
37,2585628080,syuhadashazleen,Mon Jul 22 06:56:43 +0000 2019,Tue Jun 24 11:46:35 +0000 2014,349,186,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
38,1109474103952498689,Raiiinaaaaa,Mon Jul 22 06:56:42 +0000 2019,Sat Mar 23 15:16:54 +0000 2019,24,18,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
39,1111547624484683776,the__harnie,Mon Jul 22 06:56:37 +0000 2019,Fri Mar 29 08:36:20 +0000 2019,3728,4035,"RT @opydoc_: Dressing good and looking dope even while you are struggling is not a ""fake life""   It is better than having a Benz online and…",en
40,796911518986051585,qistinajaine_,Mon Jul 22 06:56:34 +0000 2019,Fri Nov 11 03:04:46 +0000 2016,318,313,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
41,1141000106004496386,qqaalll,Mon Jul 22 06:56:34 +0000 2019,Tue Jun 18 15:09:58 +0000 2019,2,38,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
